Disease,Symptoms,Treatment
Cassava Stem Borer Damage,holes bored into stems wilting of upper shoots weakened plant structure,Remove and burn infested stems use clean planting material apply recommended insecticide
Cassava Termite Damage,hollowed out stems and roots weakened plant base collapse of mature plants,Remove infested plant debris use termite resistant varieties apply soil insecticide treatment
Cassava Scale Insect Infestation,small brown or white scale like insects on stems reduced vigor yellowing leaves,Introduce natural predators apply horticultural oil spray prune heavily infested stems
Cassava Grasshopper Damage,irregular holes chewed in leaves complete defoliation in severe cases reduced photosynthesis,Apply recommended insecticide encourage natural predators like birds harvest early if infestation severe
Cassava Nitrogen Deficiency,pale yellow leaves stunted growth thin stems poor tuber development,Apply nitrogen rich fertilizer incorporate organic manure practice proper crop rotation
Cassava Potassium Deficiency,yellowing along leaf margins brittle leaf edges poor root and tuber size,Apply potassium rich fertilizer use wood ash as organic source test soil regularly
Yam Leaf Blight,water soaked lesions on leaves rapid spreading in wet weather leaf collapse,Apply fungicide spray during wet season improve field drainage avoid dense planting
Yam Rust,orange rust colored pustules on leaf underside premature leaf yellowing and drop,Apply sulfur based fungicide remove severely infected leaves ensure good field spacing
Yam Scale Insect Infestation,small brown scales attached to tuber surface reduced tuber quality delayed sprouting,Treat setts with insecticide before planting store tubers in clean dry conditions
Yam Shoot Beetle Damage,holes in young shoots wilting of vine tips reduced early growth,Apply recommended insecticide at planting remove and destroy infested shoots
Yam Termite Damage,tunnels bored into tuber and stem base weakened plant collapse of vine,Remove infested plant debris apply soil insecticide use termite resistant setts
Yam Bacterial Soft Rot,slimy wet decay with foul odor rapid tissue breakdown in storage,Cure tubers properly before storage avoid injury during harvest discard affected tubers immediately
Yam Smut Disease,black powdery spore masses on tuber and shoot surface stunted plant growth,Use disease free planting material avoid planting in previously infected fields treat soil before planting
Yam Mild Mosaic Virus,faint light green mottling on leaves mild leaf distortion slight yield reduction,Use virus tested seed yams control aphid vectors rogue severely affected plants
Yam Nitrogen Deficiency,pale green to yellow leaves reduced vine vigor small tuber size,Apply nitrogen fertilizer at appropriate growth stage incorporate compost manure practice crop rotation
Yam Potassium Deficiency,scorching along leaf edges weak vine growth poor tuber bulking,Apply potassium fertilizer use wood ash as supplement ensure balanced soil nutrients
Yam Tuber Cracking Disorder,longitudinal cracks on tuber surface caused by irregular water supply reduced market value,Ensure consistent soil moisture through mulching avoid sudden heavy irrigation after dry spell harvest at proper maturity
Yam Internal Browning Storage Disorder,internal brown discoloration without external symptoms occurs during long storage,Store at recommended temperature and humidity avoid mechanical damage during handling monitor stored tubers regularly
Sweet Potato Leaf Curl Virus,upward curling of leaves leaf thickening stunted vine growth,Use virus free planting material control whitefly vectors remove severely infected plants
Sweet Potato Mild Mottle Virus,faint mottling on leaves slight leaf distortion minor yield loss,Use certified virus free vine cuttings control aphid vectors avoid replanting from infected fields
Sweet Potato Chlorotic Stunt Virus,severe stunting yellowing of leaf veins reduced storage root formation,Use disease indexed planting material control whitefly vectors rogue infected plants immediately
Sweet Potato Bacterial Wilt,sudden wilting of entire plant brown discoloration of vascular tissue bacterial ooze from cut stem,Use resistant varieties practice crop rotation avoid planting in previously infected fields
Sweet Potato Scab,corky raised lesions on root surface reduced market quality,Use disease free planting material avoid planting in infected soil for several seasons maintain soil pH balance
Sweet Potato Alternaria Leaf Spot,dark brown circular spots with concentric rings on leaves premature defoliation,Apply fungicide spray remove infected plant debris avoid overhead irrigation
Sweet Potato White Rust,white blister like pustules on leaf underside leaf curling and distortion,Apply fungicide spray remove severely infected leaves ensure good air circulation
Sweet Potato Stem Rot,dark lesions at stem base wilting and yellowing of vine collapse of plant,Remove and destroy infected plants avoid waterlogged soil use disease free cuttings
Sweet Potato Mole Cricket Damage,tunnels cut through roots and stems wilting of young plants uprooted seedlings,Prepare soil thoroughly before planting apply soil insecticide use bait traps
Sweet Potato Flea Beetle Damage,small round holes in leaves shot hole appearance reduced photosynthesis,Apply recommended insecticide remove weeds that harbor beetles rotate crops regularly
Sweet Potato Termite Damage,hollowed stems and roots weakened plant structure sudden wilting and collapse,Remove infested plant debris apply soil insecticide use termite resistant planting material
Sweet Potato Nitrogen Deficiency,pale yellow green leaves reduced vine growth small root size,Apply nitrogen fertilizer at early growth stage incorporate compost improve soil fertility
Sweet Potato Potassium Deficiency,scorched leaf margins weak vine growth poor storage root quality,Apply potassium fertilizer use wood ash supplement test soil before planting
Sweet Potato Internal Cork Disorder,corky brown tissue inside root not visible externally caused by virus complex,Use certified disease free planting material control aphid and whitefly vectors avoid propagating from affected plants
